"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.890650000E-2,6.316864014E-2,2.023791504E-1,9.787546692E0,9.789842585E0
3.892450000E-2,6.526428223E-2,2.043251038E-1,9.791588287E0,9.793937378E0
4.894250000E-2,6.286926270E-2,1.917512512E-1,9.802964630E0,9.805041388E0
5.896050000E-2,5.792953491E-2,1.989363098E-1,9.802515564E0,9.804705139E0
6.897850000E-2,6.391708374E-2,1.965412903E-1,9.805359650E0,9.807537496E0
7.899650000E-2,7.125183105E-2,2.038760376E-1,9.796078949E0,9.798459320E0
8.901450000E-2,5.688171387E-2,1.999841309E-1,9.789642334E0,9.791849989E0
9.903149999E-2,6.930587769E-2,2.040257263E-1,9.802515564E0,9.804883537E0
1.090495000E-1,6.885681152E-2,2.110610962E-1,9.800868988E0,9.803383139E0
1.190675000E-1,6.945556641E-2,2.071691895E-1,9.787846069E0,9.790284665E0
1.290855000E-1,6.541397095E-2,2.068698120E-1,9.796228638E0,9.798631008E0
1.391035000E-1,6.406677246E-2,1.966909790E-1,9.791887665E0,9.794072490E0
1.491215000E-1,5.643264771E-2,2.062710571E-1,9.795330505E0,9.797664625E0
1.591395000E-1,6.436614990E-2,1.984872437E-1,9.798473969E0,9.800695501E0
1.691565000E-1,6.212081909E-2,1.895059204E-1,9.800419922E0,9.802448783E0
1.791745000E-1,6.167175293E-2,1.977388000E-1,9.799671478E0,9.801860289E0
1.891925000E-1,6.661148071E-2,1.995350647E-1,9.796378326E0,9.798636622E0
1.992105000E-1,6.137237549E-2,2.061213684E-1,9.799072723E0,9.801432488E0
2.092285000E-1,5.777984619E-2,2.013313293E-1,9.797575836E0,9.799814543E0
2.192465000E-1,7.005432129E-2,2.017803955E-1,9.798324280E0,9.800652102E0
2.292645000E-1,6.077362061E-2,1.990859985E-1,9.798174591E0,9.800385400E0
2.392815000E-1,6.256988525E-2,1.981878662E-1,9.782307587E0,9.784515069E0
2.492995000E-1,5.748046875E-2,2.013313293E-1,9.797575836E0,9.799812783E0
2.593175000E-1,5.837860107E-2,2.005828857E-1,9.791438599E0,9.793666902E0
2.693355000E-1,5.703140259E-2,1.948947144E-1,9.783954163E0,9.786061291E0
2.793535000E-1,6.331832886E-2,1.983375549E-1,9.783804474E0,9.786019466E0
2.893715000E-1,6.960525513E-2,2.034269714E-1,9.789193268E0,9.791554129E0
2.993895000E-1,6.601272583E-2,1.942959595E-1,9.794132996E0,9.796282445E0
3.094065000E-1,6.017486572E-2,1.993853760E-1,9.783056030E0,9.785272650E0
3.194245000E-1,6.840774536E-2,2.032772827E-1,9.799671478E0,9.802018280E0
3.294425000E-1,6.556365967E-2,1.983375549E-1,9.786648560E0,9.788877689E0
3.394605000E-1,6.855743408E-2,2.001338196E-1,9.784702606E0,9.786989259E0
3.494785000E-1,6.735992432E-2,1.998344421E-1,9.794432373E0,9.796702337E0
3.594965000E-1,6.466552734E-2,2.037263489E-1,9.791438599E0,9.793771280E0
3.695145000E-1,6.765930176E-2,2.014810181E-1,9.795929260E0,9.798234660E0
3.795315000E-1,5.568420410E-2,2.059716797E-1,9.796078949E0,9.798402310E0
3.895495000E-1,5.792953491E-2,2.055226135E-1,9.780361633E0,9.782692321E0
3.995675000E-1,5.388793945E-2,2.059716797E-1,9.786049805E0,9.788365493E0
4.095855000E-1,6.032455444E-2,2.013313293E-1,9.796677704E0,9.798931951E0
4.196035000E-1,6.197113037E-2,2.082170105E-1,9.782307587E0,9.784719539E0
4.296215000E-1,5.328918457E-2,2.046244812E-1,9.785451050E0,9.787735344E0
4.396395000E-1,6.376739502E-2,2.014810181E-1,9.789193268E0,9.791474134E0
4.496565000E-1,6.511459351E-2,2.017803955E-1,9.790091400E0,9.792387087E0
4.596745000E-1,6.227050781E-2,2.022294617E-1,9.770631866E0,9.772922871E0
