"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.021600000E-2,5.388793945E-3,1.267863464E-1,9.744885406E0,9.745711642E0
4.023300000E-2,-8.681945801E-3,1.242416382E-1,9.702822876E0,9.703622165E0
5.024900000E-2,-1.736389160E-2,1.166075134E-1,9.696535950E0,9.697252613E0
6.026600000E-2,-1.017883301E-2,1.100212097E-1,9.717192993E0,9.717821152E0
7.028200000E-2,-8.831634521E-3,1.044827271E-1,9.758956146E0,9.759519440E0
8.029900000E-2,-2.993774414E-3,9.415420532E-2,9.758357391E0,9.758812067E0
9.031600000E-2,-8.083190918E-3,1.082249451E-1,9.754016418E0,9.754620150E0
1.003320000E-1,-7.634124756E-3,1.025367737E-1,9.795180817E0,9.795720458E0
1.103490000E-1,4.340972900E-3,9.325607300E-2,9.801168365E0,9.801612973E0
1.203650000E-1,1.496887207E-4,9.924362183E-2,9.785001984E0,9.785505257E0
1.303820000E-1,-7.185058594E-3,9.969268799E-2,9.815388794E0,9.815897689E0
1.403980000E-1,-2.245330811E-3,1.041833496E-1,9.832902374E0,9.833454546E0
1.504150000E-1,-1.197509766E-3,1.160087585E-1,9.814640350E0,9.815326009E0
1.604320000E-1,-1.990859985E-2,1.173559570E-1,9.807305603E0,9.808027935E0
1.704480000E-1,-1.616638184E-2,1.104702759E-1,9.818981323E0,9.819616044E0
1.804650000E-1,-1.122665405E-2,1.158590698E-1,9.801168365E0,9.801859553E0
1.904810000E-1,-7.933502197E-3,1.227447510E-1,9.773775330E0,9.774549269E0
2.004980000E-1,-1.287322998E-2,1.161584473E-1,9.760153656E0,9.760853338E0
2.105150000E-1,-8.083190918E-3,1.197509766E-1,9.762997742E0,9.763735481E0
2.205310000E-1,-1.137634277E-2,1.206491089E-1,9.752369843E0,9.753122740E0
2.305480000E-1,-1.392105103E-2,1.216969299E-1,9.708960114E0,9.709732768E0
2.405640000E-1,-3.891906738E-3,1.185534668E-1,9.709858246E0,9.710582744E0
2.505766667E-1,-2.395019531E-3,1.149609375E-1,9.714199219E0,9.714879732E0
2.605936667E-1,2.395019531E-3,1.145118713E-1,9.686506805E0,9.687183946E0
2.706096667E-1,5.987548828E-4,1.200503540E-1,9.701625366E0,9.702368123E0
2.806266667E-1,6.735992432E-3,1.077758789E-1,9.721683655E0,9.722283379E0
2.906426667E-1,4.490661621E-3,1.128652954E-1,9.695937195E0,9.696595115E0
3.006596667E-1,3.293151855E-3,1.187031555E-1,9.718689880E0,9.719415326E0
3.106766667E-1,-2.694396973E-3,1.053808594E-1,9.749825134E0,9.750394994E0
3.206926667E-1,4.041595459E-3,1.240919495E-1,9.739646301E0,9.740437630E0
3.307096667E-1,-3.742218018E-3,1.130149841E-1,9.729467468E0,9.730124542E0
3.407266667E-1,-6.735992432E-3,1.046324158E-1,9.791139221E0,9.791700596E0
